email_domains,country,ISO numeric,rank,inverse_rank,probability
abissnet.al,Albania,8,4.0,10.0,0.09523809523809523
albaniaonline.net,Albania,8,14.0,0.0,0.0
albmail.com,Albania,8,11.0,3.0,0.02857142857142857
albtelecom.al,Albania,8,5.0,9.0,0.08571428571428572
eagle.al,Albania,8,13.0,1.0,0.009523809523809525
gmail.com,Albania,8,0.0,14.0,0.13333333333333333
hotmail.al,Albania,8,8.0,6.0,0.05714285714285714
hotmail.com,Albania,8,2.0,12.0,0.11428571428571428
icc-al.org,Albania,8,6.0,8.0,0.0761904761904762
live.com,Albania,8,7.0,7.0,0.06666666666666667
outlook.com,Albania,8,3.0,11.0,0.10476190476190476
protonmail.com,Albania,8,10.0,4.0,0.0380952380952381
tirana.al,Albania,8,12.0,2.0,0.01904761904761905
yahoo.co.uk,Albania,8,9.0,5.0,0.047619047619047616
yahoo.com,Albania,8,1.0,13.0,0.12380952380952381
andorra.ad,Andorra,20,3.0,11.0,0.10476190476190476
andorratelecom.ad,Andorra,20,6.0,8.0,0.0761904761904762
gmail.com,Andorra,20,0.0,14.0,0.13333333333333333
gmx.com,Andorra,20,14.0,0.0,0.0
hotmail.com,Andorra,20,1.0,13.0,0.12380952380952381
hotmail.es,Andorra,20,11.0,3.0,0.02857142857142857
icloud.com,Andorra,20,5.0,9.0,0.08571428571428572
live.com,Andorra,20,7.0,7.0,0.06666666666666667
movistar.es,Andorra,20,9.0,5.0,0.047619047619047616
orange.fr,Andorra,20,8.0,6.0,0.05714285714285714
outlook.com,Andorra,20,2.0,12.0,0.11428571428571428
protonmail.com,Andorra,20,13.0,1.0,0.009523809523809525
telefonica.net,Andorra,20,10.0,4.0,0.0380952380952381
yahoo.com,Andorra,20,4.0,10.0,0.09523809523809523
yahoo.es,Andorra,20,12.0,2.0,0.01904761904761905
a1.net,Austria,40,8.0,6.0,0.05714285714285714
aon.at,Austria,40,4.0,10.0,0.09523809523809523
chello.at,Austria,40,5.0,9.0,0.08571428571428572
drei.at,Austria,40,9.0,5.0,0.047619047619047616
gmail.com,Austria,40,0.0,14.0,0.13333333333333333
gmx.at,Austria,40,1.0,13.0,0.12380952380952381
gmx.net,Austria,40,14.0,0.0,0.0
hotmail.com,Austria,40,2.0,12.0,0.11428571428571428
icloud.com,Austria,40,7.0,7.0,0.06666666666666667
kabsi.at,Austria,40,13.0,1.0,0.009523809523809525
liwest.at,Austria,40,12.0,2.0,0.01904761904761905
magenta.at,Austria,40,10.0,4.0,0.0380952380952381
outlook.com,Austria,40,3.0,11.0,0.10476190476190476
tele2.at,Austria,40,11.0,3.0,0.02857142857142857
yahoo.com,Austria,40,6.0,8.0,0.0761904761904762
bk.ru,Belarus,112,8.0,6.0,0.05714285714285714
byfly.by,Belarus,112,13.0,1.0,0.009523809523809525
gmail.com,Belarus,112,0.0,14.0,0.13333333333333333
hotmail.com,Belarus,112,7.0,7.0,0.06666666666666667
i.ua,Belarus,112,14.0,0.0,0.0
inbox.ru,Belarus,112,9.0,5.0,0.047619047619047616
list.ru,Belarus,112,10.0,4.0,0.0380952380952381
mail.ru,Belarus,112,2.0,12.0,0.11428571428571428
outlook.com,Belarus,112,4.0,10.0,0.09523809523809523
protonmail.com,Belarus,112,12.0,2.0,0.01904761904761905
rambler.ru,Belarus,112,6.0,8.0,0.0761904761904762
tut.by,Belarus,112,3.0,11.0,0.10476190476190476
yahoo.com,Belarus,112,5.0,9.0,0.08571428571428572
yandex.by,Belarus,112,1.0,13.0,0.12380952380952381
yandex.ru,Belarus,112,11.0,3.0,0.02857142857142857
base.be,Belgium,56,12.0,2.0,0.01904761904761905
belgacom.net,Belgium,56,9.0,5.0,0.047619047619047616
gmail.com,Belgium,56,0.0,14.0,0.13333333333333333
hotmail.be,Belgium,56,7.0,7.0,0.06666666666666667
hotmail.com,Belgium,56,2.0,12.0,0.11428571428571428
live.be,Belgium,56,8.0,6.0,0.05714285714285714
orange.be,Belgium,56,14.0,0.0,0.0
outlook.com,Belgium,56,1.0,13.0,0.12380952380952381
pandora.be,Belgium,56,11.0,3.0,0.02857142857142857
proximus.be,Belgium,56,5.0,9.0,0.08571428571428572
scarlet.be,Belgium,56,10.0,4.0,0.0380952380952381
skynet.be,Belgium,56,3.0,11.0,0.10476190476190476
telenet.be,Belgium,56,4.0,10.0,0.09523809523809523
voo.be,Belgium,56,13.0,1.0,0.009523809523809525
yahoo.com,Belgium,56,6.0,8.0,0.0761904761904762
aol.com,Bosnia and Herzegovina,70,14.0,0.0,0.0
bhrt.ba,Bosnia and Herzegovina,70,8.0,6.0,0.05714285714285714
bhtelecom.ba,Bosnia and Herzegovina,70,9.0,5.0,0.047619047619047616
bih.net.ba,Bosnia and Herzegovina,70,4.0,10.0,0.09523809523809523
gmail.com,Bosnia and Herzegovina,70,0.0,14.0,0.13333333333333333
hotmail.ba,Bosnia and Herzegovina,70,11.0,3.0,0.02857142857142857
hotmail.com,Bosnia and Herzegovina,70,2.0,12.0,0.11428571428571428
live.com,Bosnia and Herzegovina,70,12.0,2.0,0.01904761904761905
outlook.com,Bosnia and Herzegovina,70,1.0,13.0,0.12380952380952381
protonmail.com,Bosnia and Herzegovina,70,10.0,4.0,0.0380952380952381
smartnet.ba,Bosnia and Herzegovina,70,6.0,8.0,0.0761904761904762
tel.net.ba,Bosnia and Herzegovina,70,5.0,9.0,0.08571428571428572
teol.net,Bosnia and Herzegovina,70,7.0,7.0,0.06666666666666667
yahoo.com,Bosnia and Herzegovina,70,3.0,11.0,0.10476190476190476
yandex.com,Bosnia and Herzegovina,70,13.0,1.0,0.009523809523809525
abv.bg,Bulgaria,100,1.0,13.0,0.12380952380952381
aol.com,Bulgaria,100,13.0,1.0,0.009523809523809525
dir.bg,Bulgaria,100,6.0,8.0,0.0761904761904762
gbg.bg,Bulgaria,100,7.0,7.0,0.06666666666666667
gmail.com,Bulgaria,100,0.0,14.0,0.13333333333333333
gmx.net,Bulgaria,100,14.0,0.0,0.0
hotmail.com,Bulgaria,100,5.0,9.0,0.08571428571428572
icloud.com,Bulgaria,100,9.0,5.0,0.047619047619047616
mail.bg,Bulgaria,100,2.0,12.0,0.11428571428571428
mail.ru,Bulgaria,100,12.0,2.0,0.01904761904761905
outlook.com,Bulgaria,100,4.0,10.0,0.09523809523809523
protonmail.com,Bulgaria,100,10.0,4.0,0.0380952380952381
web.de,Bulgaria,100,8.0,6.0,0.05714285714285714
yahoo.com,Bulgaria,100,3.0,11.0,0.10476190476190476
yandex.ru,Bulgaria,100,11.0,3.0,0.02857142857142857
carnet.hr,Croatia,191,10.0,4.0,0.0380952380952381
gmail.com,Croatia,191,0.0,14.0,0.13333333333333333
hi.t-com.hr,Croatia,191,12.0,2.0,0.01904761904761905
hotmail.com,Croatia,191,5.0,9.0,0.08571428571428572
inet.hr,Croatia,191,9.0,5.0,0.047619047619047616
iskon.hr,Croatia,191,3.0,11.0,0.10476190476190476
net.hr,Croatia,191,2.0,12.0,0.11428571428571428
outlook.com,Croatia,191,6.0,8.0,0.0761904761904762
post.t-com.hr,Croatia,191,11.0,3.0,0.02857142857142857
ri.t-com.hr,Croatia,191,14.0,0.0,0.0
st.t-com.hr,Croatia,191,13.0,1.0,0.009523809523809525
t-com.hr,Croatia,191,1.0,13.0,0.12380952380952381
vip.hr,Croatia,191,8.0,6.0,0.05714285714285714
