first_names,country,ISO numeric,rank,inverse_rank,probability
Adelina,Albania,8,51.0,59.0,0.009664209664209665
AfÃ«rdita,Albania,8,39.0,71.0,0.01162981162981163
Agron,Albania,8,12.0,98.0,0.016052416052416054
Alban,Albania,8,42.0,68.0,0.011138411138411138
Albana,Albania,8,7.0,103.0,0.016871416871416873
Alketa,Albania,8,63.0,47.0,0.007698607698607698
Altin,Albania,8,108.0,2.0,0.0003276003276003276
Andi,Albania,8,60.0,50.0,0.00819000819000819
Anila,Albania,8,73.0,37.0,0.006060606060606061
Anjeza,Albania,8,3.0,107.0,0.017526617526617525
Arben,Albania,8,54.0,56.0,0.009172809172809172
Ardian,Albania,8,18.0,92.0,0.01506961506961507
Ardit,Albania,8,0.0,110.0,0.018018018018018018
Armand,Albania,8,70.0,40.0,0.006552006552006552
Arta,Albania,8,85.0,25.0,0.004095004095004095
Astrit,Albania,8,76.0,34.0,0.005569205569205569
Avni,Albania,8,96.0,14.0,0.002293202293202293
Bashkim,Albania,8,36.0,74.0,0.012121212121212121
Behar,Albania,8,72.0,38.0,0.0062244062244062245
Besa,Albania,8,77.0,33.0,0.005405405405405406
Besart,Albania,8,48.0,62.0,0.010155610155610156
Besim,Albania,8,92.0,18.0,0.0029484029484029483
Besnik,Albania,8,2.0,108.0,0.01769041769041769
Blerim,Albania,8,10.0,100.0,0.01638001638001638
Blerta,Albania,8,53.0,57.0,0.009336609336609337
Brunilda,Albania,8,19.0,91.0,0.014905814905814906
Bujar,Albania,8,24.0,86.0,0.014086814086814087
Dafina,Albania,8,79.0,31.0,0.005077805077805078
Dashamir,Albania,8,98.0,12.0,0.0019656019656019656
Denisa,Albania,8,91.0,19.0,0.0031122031122031123
Donika,Albania,8,37.0,73.0,0.011957411957411958
Drita,Albania,8,13.0,97.0,0.015888615888615888
Dritan,Albania,8,28.0,82.0,0.013431613431613431
Edlira,Albania,8,55.0,55.0,0.009009009009009009
Edmond,Albania,8,26.0,84.0,0.013759213759213759
Eduart,Albania,8,106.0,4.0,0.0006552006552006552
Elona,Albania,8,1.0,109.0,0.017854217854217855
Elvira,Albania,8,17.0,93.0,0.015233415233415233
Endrit,Albania,8,44.0,66.0,0.010810810810810811
Entela,Albania,8,67.0,43.0,0.007043407043407043
Enver,Albania,8,74.0,36.0,0.005896805896805897
Erinda,Albania,8,41.0,69.0,0.011302211302211302
Erion,Albania,8,8.0,102.0,0.016707616707616706
Erjona,Albania,8,101.0,9.0,0.0014742014742014742
Ermal,Albania,8,52.0,58.0,0.0095004095004095
Ermira,Albania,8,59.0,51.0,0.008353808353808353
Ervin,Albania,8,62.0,48.0,0.007862407862407862
Esmeralda,Albania,8,93.0,17.0,0.0027846027846027844
Fatjona,Albania,8,15.0,95.0,0.015561015561015561
Fatmir,Albania,8,84.0,26.0,0.004258804258804259
Fatos,Albania,8,32.0,78.0,0.012776412776412777
Fisnik,Albania,8,64.0,46.0,0.007534807534807535
Flamur,Albania,8,4.0,106.0,0.017362817362817362
Florian,Albania,8,50.0,60.0,0.009828009828009828
Flutura,Albania,8,35.0,75.0,0.012285012285012284
Fluturije,Albania,8,75.0,35.0,0.005733005733005733
Genti,Albania,8,46.0,64.0,0.010483210483210484
Gentian,Albania,8,6.0,104.0,0.017035217035217036
Gezim,Albania,8,30.0,80.0,0.013104013104013105
GÃ«zim,Albania,8,94.0,16.0,0.002620802620802621
Ilir,Albania,8,14.0,96.0,0.015724815724815724
Ilirjan,Albania,8,56.0,54.0,0.008845208845208846
Ina,Albania,8,105.0,5.0,0.000819000819000819
Irena,Albania,8,87.0,23.0,0.0037674037674037676
Ismail,Albania,8,90.0,20.0,0.003276003276003276
Jonida,Albania,8,57.0,53.0,0.008681408681408681
Kastriot,Albania,8,82.0,28.0,0.004586404586404586
Klea,Albania,8,107.0,3.0,0.0004914004914004914
Klodian,Albania,8,40.0,70.0,0.011466011466011465
Kozeta,Albania,8,69.0,41.0,0.0067158067158067155
Krenar,Albania,8,100.0,10.0,0.001638001638001638
Kristina,Albania,8,95.0,15.0,0.002457002457002457
Kujtim,Albania,8,22.0,88.0,0.014414414414414415
Lindita,Albania,8,9.0,101.0,0.016543816543816543
Loreta,Albania,8,97.0,13.0,0.0021294021294021295
Luan,Albania,8,68.0,42.0,0.0068796068796068794
Lule,Albania,8,81.0,29.0,0.00475020475020475
Luljeta,Albania,8,25.0,85.0,0.013923013923013924
Majlinda,Albania,8,43.0,67.0,0.010974610974610974
Marjana,Albania,8,61.0,49.0,0.008026208026208027
Mentor,Albania,8,38.0,72.0,0.011793611793611793
Migena,Albania,8,99.0,11.0,0.0018018018018018018
Mimoza,Albania,8,23.0,87.0,0.01425061425061425
Mirela,Albania,8,5.0,105.0,0.0171990171990172
Murat,Albania,8,78.0,32.0,0.005241605241605242
Nora,Albania,8,83.0,27.0,0.004422604422604423
Ornela,Albania,8,49.0,61.0,0.009991809991809993
Petrit,Albania,8,20.0,90.0,0.014742014742014743
Pranvera,Albania,8,29.0,81.0,0.013267813267813268
Ramiz,Albania,8,88.0,22.0,0.0036036036036036037
Rezart,Albania,8,110.0,0.0,0.0
Rovena,Albania,8,27.0,83.0,0.013595413595413596
Rudina,Albania,8,47.0,63.0,0.010319410319410319
Saimir,Albania,8,102.0,8.0,0.0013104013104013104
Shaban,Albania,8,86.0,24.0,0.003931203931203931
Shkelzen,Albania,8,66.0,44.0,0.007207207207207207
Shpresa,Albania,8,21.0,89.0,0.014578214578214578
Silvana,Albania,8,45.0,65.0,0.010647010647010647
SkÃ«nder,Albania,8,34.0,76.0,0.012448812448812449
Sokol,Albania,8,16.0,94.0,0.015397215397215397
Suela,Albania,8,109.0,1.0,0.0001638001638001638
Taulant,Albania,8,104.0,6.0,0.0009828009828009828
Teuta,Albania,8,31.0,79.0,0.01294021294021294
Valbona,Albania,8,65.0,45.0,0.007371007371007371
Valdrin,Albania,8,58.0,52.0,0.008517608517608518
Valentina,Albania,8,89.0,21.0,0.0034398034398034397
Vjollca,Albania,8,11.0,99.0,0.016216216216216217
Xhensila,Albania,8,103.0,7.0,0.0011466011466011465
Xhevat,Albania,8,80.0,30.0,0.004914004914004914
Yllka,Albania,8,71.0,39.0,0.0063882063882063885
Zamira,Albania,8,33.0,77.0,0.012612612612612612
AgnÃ¨s,Andorra,20,65.0,4.0,0.0016563146997929607
Aina,Andorra,20,47.0,22.0,0.009109730848861283
Albert,Andorra,20,10.0,59.0,0.02443064182194617
Andreu,Andorra,20,20.0,49.0,0.020289855072463767
Anna,Andorra,20,3.0,66.0,0.02732919254658385
Ariadna,Andorra,20,57.0,12.0,0.004968944099378882
Arnau,Andorra,20,38.0,31.0,0.012836438923395446
Bernat,Andorra,20,60.0,9.0,0.0037267080745341614
Berta,Andorra,20,41.0,28.0,0.011594202898550725
Carla,Andorra,20,7.0,62.0,0.02567287784679089
Carles,Andorra,20,64.0,5.0,0.002070393374741201
Clara,Andorra,20,17.0,52.0,0.021532091097308487
Cristina,Andorra,20,23.0,46.0,0.01904761904761905
Daniel,Andorra,20,68.0,1.0,0.00041407867494824016
David,Andorra,20,4.0,65.0,0.026915113871635612
Dolors,Andorra,20,55.0,14.0,0.005797101449275362
Elisabet,Andorra,20,29.0,40.0,0.016563146997929608
Emma,Andorra,20,13.0,56.0,0.02318840579710145
Enric,Andorra,20,32.0,37.0,0.015320910973084885
Esther,Andorra,20,49.0,20.0,0.008281573498964804
Ferran,Andorra,20,40.0,29.0,0.012008281573498964
Francesc,Andorra,20,26.0,43.0,0.01780538302277433
Gemma,Andorra,20,35.0,34.0,0.014078674948240166
Gerard,Andorra,20,54.0,15.0,0.006211180124223602
Guillem,Andorra,20,44.0,25.0,0.010351966873706004
Helena,Andorra,20,21.0,48.0,0.01987577639751553
Ignasi,Andorra,20,62.0,7.0,0.002898550724637681
Irene,Andorra,20,33.0,36.0,0.014906832298136646
Jaume,Andorra,20,66.0,3.0,0.0012422360248447205
Joan,Andorra,20,8.0,61.0,0.02525879917184265
Joana,Andorra,20,59.0,10.0,0.004140786749482402
Jordi,Andorra,20,2.0,67.0,0.02774327122153209
Josep,Andorra,20,28.0,41.0,0.016977225672877846
JÃºlia,Andorra,20,39.0,30.0,0.012422360248447204
Laia,Andorra,20,19.0,50.0,0.020703933747412008
Laura,Andorra,20,5.0,64.0,0.02650103519668737
LluÃ­s,Andorra,20,34.0,35.0,0.014492753623188406
Marc,Andorra,20,0.0,69.0,0.02857142857142857
Maria,Andorra,20,1.0,68.0,0.028157349896480333
Marta,Andorra,20,9.0,60.0,0.024844720496894408
MartÃ­,Andorra,20,46.0,23.0,0.009523809523809525
MercÃ¨,Andorra,20,27.0,42.0,0.017391304347826087
Meritxell,Andorra,20,51.0,18.0,0.007453416149068323
Miquel,Andorra,20,16.0,53.0,0.02194616977225673
Mireia,Andorra,20,37.0,32.0,0.013250517598343685
Montse,Andorra,20,67.0,2.0,0.0008281573498964803
Montserrat,Andorra,20,25.0,44.0,0.018219461697722567
NatÃ lia,Andorra,20,63.0,6.0,0.002484472049689441
Neus,Andorra,20,43.0,26.0,0.010766045548654244
NÃºria,Andorra,20,15.0,54.0,0.02236024844720497
Oriol,Andorra,20,24.0,45.0,0.018633540372670808
Pau,Andorra,20,12.0,57.0,0.02360248447204969
Pere,Andorra,20,6.0,63.0,0.02608695652173913
Pilar,Andorra,20,61.0,8.0,0.0033126293995859213
Pol,Andorra,20,42.0,27.0,0.011180124223602485
Quim,Andorra,20,58.0,11.0,0.004554865424430642
Ramon,Andorra,20,30.0,39.0,0.016149068322981366
RaÃ¼l,Andorra,20,56.0,13.0,0.005383022774327122
Ricard,Andorra,20,48.0,21.0,0.008695652173913044
Roger,Andorra,20,22.0,47.0,0.019461697722567287
Rosa,Andorra,20,45.0,24.0,0.009937888198757764
Roser,Andorra,20,53.0,16.0,0.006625258799171843
Sandra,Andorra,20,69.0,0.0,0.0
Sergi,Andorra,20,14.0,55.0,0.022774327122153208
Sofia,Andorra,20,11.0,58.0,0.02401656314699793
SÃ­lvia,Andorra,20,31.0,38.0,0.015734989648033125
Toni,Andorra,20,36.0,33.0,0.013664596273291925
VicenÃ§,Andorra,20,50.0,19.0,0.007867494824016562
Xavier,Andorra,20,18.0,51.0,0.02111801242236025
Ãlex,Andorra,20,52.0,17.0,0.007039337474120083
Adrian,Austria,40,76.0,53.0,0.006320810971973762
Alexander,Austria,40,28.0,101.0,0.012045319022063208
Alois,Austria,40,116.0,13.0,0.0015503875968992248
Andrea,Austria,40,47.0,82.0,0.009779367918902803
Andreas,Austria,40,12.0,117.0,0.013953488372093023
Angelika,Austria,40,69.0,60.0,0.007155635062611807
Anna,Austria,40,3.0,126.0,0.015026833631484795
Anton,Austria,40,88.0,41.0,0.004889683959451402
Barbara,Austria,40,37.0,92.0,0.010971973762671438
Benjamin,Austria,40,48.0,81.0,0.00966010733452594
Bernhard,Austria,40,68.0,61.0,0.00727489564698867
Bianca,Austria,40,63.0,66.0,0.007871198568872988
Brigitte,Austria,40,107.0,22.0,0.0026237328562909957
Christa,Austria,40,105.0,24.0,0.0028622540250447226
Christian,Austria,40,18.0,111.0,0.013237924865831842
Christina,Austria,40,35.0,94.0,0.011210494931425164
Christoph,Austria,40,56.0,73.0,0.008706022659511032
Claudia,Austria,40,53.0,76.0,0.009063804412641622
Clemens,Austria,40,82.0,47.0,0.005605247465712582
Cornelia,Austria,40,75.0,54.0,0.0064400715563506265
Daniel,Austria,40,26.0,103.0,0.012283840190816934
Daniela,Austria,40,49.0,80.0,0.009540846750149075
David,Austria,40,32.0,97.0,0.011568276684555755
Dominik,Austria,40,60.0,69.0,0.008228980322003579
Edith,Austria,40,121.0,8.0,0.0009540846750149076
Elfriede,Austria,40,97.0,32.0,0.0038163387000596303
Elias,Austria,40,94.0,35.0,0.0041741204531902205
Elisabeth,Austria,40,5.0,124.0,0.014788312462731067
Emil,Austria,40,104.0,25.0,0.0029815146094215863
Emma,Austria,40,21.0,108.0,0.012880143112701253
Erika,Austria,40,119.0,10.0,0.0011926058437686344
Erwin,Austria,40,128.0,1.0,0.00011926058437686345
Fabian,Austria,40,62.0,67.0,0.00799045915324985
Felix,Austria,40,50.0,79.0,0.009421586165772213
Florian,Austria,40,34.0,95.0,0.011329755515802028
Franz,Austria,40,0.0,129.0,0.015384615384615385
Franziska,Austria,40,129.0,0.0,0.0
Frieda,Austria,40,101.0,28.0,0.0033392963625521765
Friedrich,Austria,40,108.0,21.0,0.0025044722719141325
Gabriel,Austria,40,66.0,63.0,0.0075134168157423974
Gabriele,Austria,40,93.0,36.0,0.004293381037567084
Georg,Austria,40,90.0,39.0,0.004651162790697674
Gertrude,Austria,40,99.0,30.0,0.0035778175313059034
Gisela,Austria,40,117.0,12.0,0.0014311270125223613
Gregor,Austria,40,70.0,59.0,0.007036374478234944
GÃ¼nther,Austria,40,126.0,3.0,0.00035778175313059033
Hannah,Austria,40,25.0,104.0,0.012403100775193798
Heinrich,Austria,40,110.0,19.0,0.0022659511031604056
Helga,Austria,40,89.0,40.0,0.004770423375074538
Hermann,Austria,40,118.0,11.0,0.0013118664281454979
Hermine,Austria,40,123.0,6.0,0.0007155635062611807
Hildegard,Austria,40,111.0,18.0,0.002146690518783542
Hubert,Austria,40,120.0,9.0,0.001073345259391771
Ingrid,Austria,40,87.0,42.0,0.005008944543828265
Irene,Austria,40,103.0,26.0,0.0031007751937984496
Jakob,Austria,40,92.0,37.0,0.004412641621943948
Jasmin,Austria,40,43.0,86.0,0.010256410256410256
Johann,Austria,40,2.0,127.0,0.015146094215861657
Johanna,Austria,40,29.0,100.0,0.011926058437686345
Jonas,Austria,40,96.0,33.0,0.003935599284436494
Josef,Austria,40,4.0,125.0,0.01490757304710793
Josefine,Austria,40,127.0,2.0,0.0002385211687537269
Julia,Austria,40,11.0,118.0,0.014072748956469887
Karin,Austria,40,61.0,68.0,0.008109719737626715
Karl,Austria,40,6.0,123.0,0.014669051878354204
Katharina,Austria,40,7.0,122.0,0.01454979129397734
Konrad,Austria,40,112.0,17.0,0.0020274299344066786
Laura,Austria,40,13.0,116.0,0.013834227787716159
Lena,Austria,40,23.0,106.0,0.012641621943947525
Leonhard,Austria,40,100.0,29.0,0.0034585569469290397
Leopold,Austria,40,106.0,23.0,0.0027429934406678594
Leopoldine,Austria,40,125.0,4.0,0.0004770423375074538
Lisa,Austria,40,17.0,112.0,0.013357185450208706
Lorenz,Austria,40,84.0,45.0,0.005366726296958855
Lukas,Austria,40,38.0,91.0,0.010852713178294573
Magdalena,Austria,40,27.0,102.0,0.012164579606440072
Manuel,Austria,40,58.0,71.0,0.008467501490757305
Manuela,Austria,40,79.0,50.0,0.005963029218843173
Margarete,Austria,40,113.0,16.0,0.0019081693500298152
Maria,Austria,40,1.0,128.0,0.015265354800238521
Markus,Austria,40,22.0,107.0,0.012760882528324389
Martin,Austria,40,24.0,105.0,0.012522361359570662
Martina,Austria,40,59.0,70.0,0.008348240906380441
Matthias,Austria,40,30.0,99.0,0.011806797853309481
Maximilian,Austria,40,40.0,89.0,0.010614192009540847
Melanie,Austria,40,41.0,88.0,0.010494931425163983
Michael,Austria,40,8.0,121.0,0.014430530709600478
Michaela,Austria,40,83.0,46.0,0.005485986881335719
Monika,Austria,40,71.0,58.0,0.0069171138938580795
Moritz,Austria,40,86.0,43.0,0.005128205128205128
Natalie,Austria,40,81.0,48.0,0.005724508050089445
Nikolaus,Austria,40,72.0,57.0,0.006797853309481216
Nina,Austria,40,19.0,110.0,0.01311866428145498
Oliver,Austria,40,78.0,51.0,0.006082289803220036
Oskar,Austria,40,102.0,27.0,0.0032200357781753132
Patrick,Austria,40,44.0,85.0,0.010137149672033392
Paul,Austria,40,52.0,77.0,0.009183064997018485
