last_names,country,ISO numeric,rank,inverse_rank,probability
Abazi,Albania,8,45.0,69.0,0.01072961373390558
Ahmeti,Albania,8,15.0,99.0,0.015328019619865114
Aliu,Albania,8,88.0,26.0,0.00413856529736358
Bajrami,Albania,8,18.0,96.0,0.01486817903126916
Bardhi,Albania,8,67.0,47.0,0.007357449417535254
Basha,Albania,8,46.0,68.0,0.010576333537706928
Bekteshi,Albania,8,110.0,4.0,0.0007664009809932557
Beqiri,Albania,8,25.0,89.0,0.013795217657878603
Berisha,Albania,8,3.0,111.0,0.017167381974248927
Biba,Albania,8,89.0,25.0,0.00398528510116493
Cani,Albania,8,26.0,88.0,0.013641937461679951
Cara,Albania,8,111.0,3.0,0.0006131207847946045
Daci,Albania,8,48.0,66.0,0.010269773145309627
Deda,Albania,8,69.0,45.0,0.007050889025137952
Dervishaj,Albania,8,112.0,2.0,0.0004598405885959534
Dervishi,Albania,8,5.0,109.0,0.016860821581851624
Domi,Albania,8,91.0,23.0,0.003678724708767627
Duka,Albania,8,27.0,87.0,0.0134886572654813
Elezi,Albania,8,28.0,86.0,0.013335377069282648
Fana,Albania,8,70.0,44.0,0.006897608828939301
Feka,Albania,8,49.0,65.0,0.010116492949110975
Filo,Albania,8,92.0,22.0,0.003525444512568976
FrashÃ«ri,Albania,8,29.0,85.0,0.013182096873083998
Frroku,Albania,8,113.0,1.0,0.00030656039239730225
Gashi,Albania,8,14.0,100.0,0.015481299816063764
Gega,Albania,8,50.0,64.0,0.009963212752912324
Gjoka,Albania,8,6.0,108.0,0.016707541385652974
Gjoni,Albania,8,30.0,84.0,0.013028816676885347
Goga,Albania,8,93.0,21.0,0.003372164316370325
Goxhaj,Albania,8,114.0,0.0,0.00015328019619865113
Guri,Albania,8,71.0,43.0,0.00674432863274065
Haka,Albania,8,94.0,20.0,0.003218884120171674
Hasani,Albania,8,16.0,98.0,0.015174739423666463
Hoti,Albania,8,72.0,42.0,0.006591048436541999
